Month,Import_Country,Import_Continent,US_Dollar_Value,Tonnes,Data_Type,Year
May,Japan,Asia,"1,02,96,866.52","6,147.90",Estimate,2017
Jun,Japan,Asia,"98,31,056.12","5,948.76",Estimate,2017
Jul,Japan,Asia,"93,65,245.73","5,749.63",Estimate,2017
Aug,Japan,Asia,"88,99,435.34","5,550.49",Estimate,2017
Sep,Japan,Asia,"84,33,624.94","5,351.36",Estimate,2017
Oct,Japan,Asia,"79,67,814.55","5,152.23",Estimate,2017
Jan,Kenya,Africa,"10,27,832.86",560.3681,Estimate,2017
Feb,Kenya,Africa,"10,28,498.72",566.6929,Estimate,2017
Mar,Kenya,Africa,"10,29,164.58",573.0178,Estimate,2017
Apr,Kenya,Africa,"10,29,830.45",579.3426,Estimate,2017
May,Kenya,Africa,"10,30,496.31",585.6675,Estimate,2017
Jun,Kenya,Africa,"10,31,162.17",591.9923,Estimate,2017
Jul,Kenya,Africa,"10,31,828.03",598.3172,Estimate,2017
Aug,Kenya,Africa,"10,32,493.89",604.642,Estimate,2017
Sep,Kenya,Africa,"10,33,159.75",610.9668,Estimate,2017
Oct,Kenya,Africa,"10,33,825.61",617.2917,Estimate,2017
Jan,Malaysia,Asia,"3,25,763.02",342.5647,Estimate,2017
Feb,Malaysia,Asia,"2,04,029.67",290.8373,Estimate,2017
Mar,Malaysia,Asia,"82,296.32",239.1098,Estimate,2017
Apr,Malaysia,Asia,"-39,437.03",187.3824,Estimate,2017
May,Malaysia,Asia,"-1,61,170.37",135.655,Estimate,2017
Jun,Malaysia,Asia,"-2,82,903.72",83.9276,Estimate,2017
Jul,Malaysia,Asia,"-4,04,637.07",32.2002,Estimate,2017
Aug,Malaysia,Asia,"19,05,591.80",946.1163,Estimate,2017
Sep,Malaysia,Asia,"20,48,526.55","1,017.08",Estimate,2017
Oct,Malaysia,Asia,"22,09,813.28","1,097.16",Estimate,2017
Jan,Mexico,Latin America,"28,97,086.24","1,498.26",Estimate,2017
Feb,Mexico,Latin America,"28,82,243.62","1,505.61",Estimate,2017
Mar,Mexico,Latin America,"28,67,401.00","1,512.96",Estimate,2017
Apr,Mexico,Latin America,"28,52,558.38","1,520.32",Estimate,2017
May,Mexico,Latin America,"28,37,715.77","1,527.67",Estimate,2017
Jun,Mexico,Latin America,"28,22,873.15","1,535.02",Estimate,2017
Jul,Mexico,Latin America,"28,08,030.53","1,542.38",Estimate,2017
Aug,Mexico,Latin America,"27,93,187.91","1,549.73",Estimate,2017
Sep,Mexico,Latin America,"27,78,345.29","1,557.08",Estimate,2017
Oct,Mexico,Latin America,"27,63,502.67","1,564.44",Estimate,2017
Jan,Mozambique,Africa,"1,04,746.25",42.4891,Estimate,2017
Feb,Mozambique,Africa,"1,07,619.20",44.005,Estimate,2017
Mar,Mozambique,Africa,"1,10,492.16",45.5208,Estimate,2017
Apr,Mozambique,Africa,"1,13,365.11",47.0367,Estimate,2017
May,Mozambique,Africa,"1,16,238.06",48.5525,Estimate,2017
Jun,Mozambique,Africa,"1,19,111.01",50.0684,Estimate,2017
Jul,Mozambique,Africa,"1,21,983.96",51.5842,Estimate,2017
Aug,Mozambique,Africa,"1,24,856.91",53.1001,Estimate,2017
Sep,Mozambique,Africa,"1,27,729.86",54.6159,Estimate,2017
Oct,Mozambique,Africa,"1,30,602.81",56.1318,Estimate,2017
Jan,Norway,Europe,"14,83,339.53",784.0511,Estimate,2017
Feb,Norway,Europe,"13,66,753.01",739.5432,Estimate,2017
Mar,Norway,Europe,"12,50,166.49",695.0352,Estimate,2017
Apr,Norway,Europe,"11,33,579.96",650.5273,Estimate,2017
May,Norway,Europe,"10,16,993.44",606.0193,Estimate,2017
Jun,Norway,Europe,"9,00,406.92",561.5114,Estimate,2017
Jul,Norway,Europe,"7,83,820.39",517.0034,Estimate,2017
Aug,Norway,Europe,"6,67,233.87",472.4955,Estimate,2017
Sep,Norway,Europe,"5,50,647.35",427.9875,Estimate,2017
Oct,Norway,Europe,"4,34,060.82",383.4796,Estimate,2017
Jan,Papua New Guinea,Oceania,"1,21,112.43",54.7766,Estimate,2017
Feb,Papua New Guinea,Oceania,"1,23,053.11",56.4546,Estimate,2017
Mar,Papua New Guinea,Oceania,"1,24,993.80",58.1326,Estimate,2017
Apr,Papua New Guinea,Oceania,"1,26,934.48",59.8106,Estimate,2017
May,Papua New Guinea,Oceania,"1,28,875.17",61.4886,Estimate,2017
Jun,Papua New Guinea,Oceania,"1,30,815.86",63.1666,Estimate,2017
Jul,Papua New Guinea,Oceania,"1,32,756.54",64.8446,Estimate,2017
Aug,Papua New Guinea,Oceania,"1,34,697.23",66.5226,Estimate,2017
Sep,Papua New Guinea,Oceania,"1,36,637.91",68.2006,Estimate,2017
Oct,Papua New Guinea,Oceania,"1,38,578.60",69.8785,Estimate,2017
Jan,Singapore,Asia,"67,266.80",28.386,Estimate,2017
Feb,Singapore,Asia,"67,612.25",29.0277,Estimate,2017
Mar,Singapore,Asia,"67,957.70",29.6693,Estimate,2017
Apr,Singapore,Asia,"68,303.15",30.311,Estimate,2017
May,Singapore,Asia,"68,648.61",30.9526,Estimate,2017
Jun,Singapore,Asia,"68,994.06",31.5943,Estimate,2017
Jul,Singapore,Asia,"69,339.51",32.236,Estimate,2017
Aug,Singapore,Asia,"69,684.96",32.8776,Estimate,2017
Sep,Singapore,Asia,"70,030.41",33.5193,Estimate,2017
Oct,Singapore,Asia,"70,375.86",34.1609,Estimate,2017
Jan,Slovenia,Europe,"6,47,466.92",22.0087,Estimate,2017
Feb,Slovenia,Europe,"6,43,248.03",20.7784,Estimate,2017
Mar,Slovenia,Europe,"6,39,029.13",19.5481,Estimate,2017
Apr,Slovenia,Europe,"6,34,810.23",18.3179,Estimate,2017
May,Slovenia,Europe,"6,30,591.34",17.0876,Estimate,2017
Jun,Slovenia,Europe,"6,26,372.44",15.8573,Estimate,2017
Jul,Slovenia,Europe,"6,22,153.54",14.627,Estimate,2017
Aug,Slovenia,Europe,"6,17,934.65",13.3968,Estimate,2017
Sep,Slovenia,Europe,"6,13,715.75",12.1665,Estimate,2017
Oct,Slovenia,Europe,"6,09,496.85",10.9362,Estimate,2017
Jan,South Korea,Asia,"4,14,45,425.19","3,008.05",Estimate,2017
Feb,South Korea,Asia,"4,23,88,179.96","2,840.34",Estimate,2017
Mar,South Korea,Asia,"4,33,30,934.74","2,954.07",Estimate,2017
Apr,South Korea,Asia,"4,42,73,689.52","3,045.50",Estimate,2017
May,South Korea,Asia,"4,52,16,444.29","3,057.62",Estimate,2017
Jun,South Korea,Asia,"4,61,59,199.07","3,206.09",Estimate,2017
Jul,South Korea,Asia,"4,71,01,953.84","3,186.70",Estimate,2017
Aug,South Korea,Asia,"4,80,44,708.62","2,869.65",Estimate,2017
Sep,South Korea,Asia,"4,89,87,463.39","3,084.89",Estimate,2017
Oct,South Korea,Asia,"4,99,30,218.17","3,327.77",Estimate,2017
Jan,Spain,Europe,"20,53,260.85",910.0989,Estimate,2017
Feb,Spain,Europe,"21,00,023.26",936.628,Estimate,2017
Mar,Spain,Europe,"21,46,785.66",963.1571,Estimate,2017
Apr,Spain,Europe,"21,93,548.06",989.6861,Estimate,2017
May,Spain,Europe,"22,40,310.46","1,016.22",Estimate,2017
Jun,Spain,Europe,"22,87,072.87","1,042.74",Estimate,2017
Jul,Spain,Europe,"23,33,835.27","1,069.27",Estimate,2017
Aug,Spain,Europe,"23,80,597.67","1,095.80",Estimate,2017
Sep,Spain,Europe,"24,27,360.08","1,122.33",Estimate,2017
Oct,Spain,Europe,"24,74,122.48","1,148.86",Estimate,2017
Jan,Sri Lanka,Asia,"48,353.15",9.5444,Estimate,2017
Feb,Sri Lanka,Asia,"48,805.15",9.888,Estimate,2017
Mar,Sri Lanka,Asia,"49,257.14",10.2317,Estimate,2017
Apr,Sri Lanka,Asia,"49,709.13",10.5753,Estimate,2017
May,Sri Lanka,Asia,"50,161.12",10.9189,Estimate,2017
Jun,Sri Lanka,Asia,"50,613.11",11.2625,Estimate,2017
Jul,Sri Lanka,Asia,"51,065.10",11.6062,Estimate,2017
Aug,Sri Lanka,Asia,"51,517.09",11.9498,Estimate,2017
Sep,Sri Lanka,Asia,"51,969.08",12.2934,Estimate,2017
Oct,Sri Lanka,Asia,"52,421.08",12.6371,Estimate,2017
Jan,Swaziland,Africa,"6,435.47",2.2165,Estimate,2017
Feb,Swaziland,Africa,"6,609.68",2.2901,Estimate,2017
Mar,Swaziland,Africa,"6,783.88",2.3637,Estimate,2017
Apr,Swaziland,Africa,"6,958.08",2.4373,Estimate,2017
May,Swaziland,Africa,"7,132.29",2.5109,Estimate,2017
Jun,Swaziland,Africa,"7,306.49",2.5846,Estimate,2017
Jul,Swaziland,Africa,"7,480.70",2.6582,Estimate,2017
Aug,Swaziland,Africa,"7,654.90",2.7318,Estimate,2017
Sep,Swaziland,Africa,"7,829.10",2.8054,Estimate,2017
Oct,Swaziland,Africa,"8,003.31",2.879,Estimate,2017
Jan,Switzerland,Europe,"1,20,86,248.04","7,129.07",Estimate,2017
Feb,Switzerland,Europe,"1,22,53,772.81","7,264.19",Estimate,2017
Mar,Switzerland,Europe,"1,24,21,297.57","7,399.32",Estimate,2017
Apr,Switzerland,Europe,"1,25,88,822.34","7,534.44",Estimate,2017
May,Switzerland,Europe,"1,27,56,347.11","7,669.57",Estimate,2017
Jun,Switzerland,Europe,"1,29,23,871.88","7,804.69",Estimate,2017
Jul,Switzerland,Europe,"1,30,91,396.65","7,939.82",Estimate,2017
Aug,Switzerland,Europe,"1,32,58,921.42","8,074.94",Estimate,2017
Sep,Switzerland,Europe,"1,34,26,446.19","8,210.07",Estimate,2017
Oct,Switzerland,Europe,"1,35,93,970.96","8,345.19",Estimate,2017
Jan,Thailand,Asia,"1,90,10,254.53","2,757.91",Estimate,2017
Feb,Thailand,Asia,"1,93,22,006.15","2,604.15",Estimate,2017
Mar,Thailand,Asia,"1,96,33,757.76","2,708.42",Estimate,2017
Apr,Thailand,Asia,"1,99,45,509.37","2,792.24",Estimate,2017
May,Thailand,Asia,"2,02,57,260.98","2,803.35",Estimate,2017
Jun,Thailand,Asia,"2,05,69,012.59","2,939.48",Estimate,2017
Jul,Thailand,Asia,"2,08,80,764.20","2,921.71",Estimate,2017
Aug,Thailand,Asia,"2,11,92,515.82","2,631.01",Estimate,2017
Sep,Thailand,Asia,"2,15,04,267.43","2,828.36",Estimate,2017
Oct,Thailand,Asia,"2,18,16,019.04","3,051.05",Estimate,2017
Jan,Turkey,Asia,"89,75,681.21","5,093.48",Estimate,2017
Feb,Turkey,Asia,"90,20,742.50","5,154.98",Estimate,2017
Mar,Turkey,Asia,"90,65,803.80","5,216.49",Estimate,2017
Apr,Turkey,Asia,"91,10,865.10","5,277.99",Estimate,2017
May,Turkey,Asia,"91,55,926.39","5,339.50",Estimate,2017
Jun,Turkey,Asia,"92,00,987.69","5,401.00",Estimate,2017
Jul,Turkey,Asia,"92,46,048.98","5,462.51",Estimate,2017
Aug,Turkey,Asia,"92,91,110.28","5,524.01",Estimate,2017
Sep,Turkey,Asia,"93,36,171.58","5,585.52",Estimate,2017
Oct,Turkey,Asia,"93,81,232.87","5,647.02",Estimate,2017
Jan,Ukraine,Europe,"6,514.96",2.603,Estimate,2017
Feb,Ukraine,Europe,"6,151.72",2.4578,Estimate,2017
Mar,Ukraine,Europe,"6,398.04",2.5563,Estimate,2017
Apr,Ukraine,Europe,"6,596.05",2.6354,Estimate,2017
May,Ukraine,Europe,"6,622.30",2.6459,Estimate,2017
Jun,Ukraine,Europe,"6,943.87",2.7743,Estimate,2017
Jul,Ukraine,Europe,"6,901.88",2.7576,Estimate,2017
Aug,Ukraine,Europe,"6,215.19",2.4832,Estimate,2017
Sep,Ukraine,Europe,"6,681.38",2.6695,Estimate,2017
Oct,Ukraine,Europe,"7,207.42",2.8796,Estimate,2017
Jan,United Kingdom,Europe,"19,91,794.99",571.1457,Estimate,2017
Feb,United Kingdom,Europe,"19,79,231.26",562.7272,Estimate,2017
Mar,United Kingdom,Europe,"19,66,667.54",554.3088,Estimate,2017
Apr,United Kingdom,Europe,"19,54,103.81",545.8904,Estimate,2017
May,United Kingdom,Europe,"19,41,540.08",537.4719,Estimate,2017
Jun,United Kingdom,Europe,"19,28,976.36",529.0535,Estimate,2017
Jul,United Kingdom,Europe,"19,16,412.63",520.6351,Estimate,2017
Aug,United Kingdom,Europe,"19,03,848.91",512.2166,Estimate,2017
Sep,United Kingdom,Europe,"18,91,285.18",503.7982,Estimate,2017
Oct,United Kingdom,Europe,"18,78,721.45",495.3798,Estimate,2017
Jan,USA,North America,"1,34,45,181.52","2,923.02",Estimate,2017
Feb,USA,North America,"1,34,54,686.70","2,955.86",Estimate,2017
Mar,USA,North America,"1,34,64,191.88","2,988.71",Estimate,2017
Apr,USA,North America,"1,34,73,697.06","3,021.55",Estimate,2017
May,USA,North America,"1,34,83,202.24","3,054.40",Estimate,2017
Jun,USA,North America,"1,34,92,707.42","3,087.24",Estimate,2017
Jul,USA,North America,"1,35,02,212.60","3,120.08",Estimate,2017
Aug,USA,North America,"1,35,11,717.78","3,152.93",Estimate,2017
Sep,USA,North America,"1,35,21,222.96","3,185.77",Estimate,2017
Oct,USA,North America,"1,35,30,728.14","3,218.62",Estimate,2017
Jan,Viet Nam,Asia,"3,32,614.74",106.7733,Estimate,2017
Feb,Viet Nam,Asia,"2,91,227.21",87.8735,Estimate,2017
Mar,Viet Nam,Asia,"2,49,839.67",68.9738,Estimate,2017
Apr,Viet Nam,Asia,"2,08,452.14",50.0741,Estimate,2017
May,Viet Nam,Asia,"1,67,064.61",31.1743,Estimate,2017
Jun,Viet Nam,Asia,"1,25,677.08",12.2746,Estimate,2017
Jan,Zambia,Africa,"22,598.96",5.6641,Estimate,2017
Feb,Zambia,Africa,"22,273.90",5.6088,Estimate,2017
Mar,Zambia,Africa,"21,948.84",5.5535,Estimate,2017
Apr,Zambia,Africa,"21,623.79",5.4982,Estimate,2017
May,Zambia,Africa,"21,298.73",5.4429,Estimate,2017
Jun,Zambia,Africa,"20,973.67",5.3876,Estimate,2017
Jul,Zambia,Africa,"20,648.61",5.3323,Estimate,2017
Aug,Zambia,Africa,"20,323.55",5.277,Estimate,2017
Sep,Zambia,Africa,"19,998.49",5.2217,Estimate,2017
Oct,Zambia,Africa,"19,673.43",5.1664,Estimate,2017
