Country,Country_Type,Commodity,Year,Month,Export_Country,Import_Country,USD_Value,Tonnes,Data_Type
Japan,Export,Scrap,2016,Mar,Na,Taiwan,"42,478.00",39.39,Actual
Japan,Export,Scrap,2016,Apr,Na,Taiwan,"42,760.00",36.90,Actual
Japan,Export,Scrap,2016,May,Na,Taiwan,"38,436.00",45.29,Actual
Japan,Export,Scrap,2016,Jul,Na,Taiwan,"69,432.00",111.84,Actual
Japan,Export,Scrap,2016,Sep,Na,Taiwan,"1,12,372.00",185.99,Actual
Japan,Export,Scrap,2016,Nov,Na,Taiwan,"64,575.43",56.86,Estimate
Japan,Export,Scrap,2016,Dec,Na,Taiwan,"64,958.19",57.73,Estimate
Japan,Export,Scrap,2016,Nov,Na,Thailand,"55,776.72",39.40,Estimate
Japan,Export,Scrap,2016,Dec,Na,Thailand,"51,670.06",36.50,Estimate
Japan,Export,Scrap,2016,Aug,Na,United Arab Emirates,"10,892.00",19.56,Actual
Japan,Export,Scrap,2016,Nov,Na,United Arab Emirates,"11,695.93",1.99,Estimate
Japan,Export,Scrap,2016,Dec,Na,United Arab Emirates,"11,739.39",2.07,Estimate
Japan,Export,Scrap,2016,Jan,Na,Viet Nam,"43,685.00",42.34,Actual
Japan,Export,Scrap,2016,Feb,Na,Viet Nam,"1,84,259.00",140.30,Actual
Japan,Export,Scrap,2016,Mar,Na,Viet Nam,"1,34,057.00",101.57,Actual
Japan,Export,Scrap,2016,May,Na,Viet Nam,"60,910.00",50.33,Actual
Japan,Export,Scrap,2016,Jun,Na,Viet Nam,"82,708.00",85.54,Actual
Japan,Export,Scrap,2016,Jul,Na,Viet Nam,"3,01,380.00",239.53,Actual
Japan,Export,Scrap,2016,Aug,Na,Viet Nam,"6,132.00",26.39,Actual
Japan,Export,Scrap,2016,Sep,Na,Viet Nam,"1,67,960.00",142.56,Actual
Japan,Export,Scrap,2016,Oct,Na,Viet Nam,"3,54,063.00",273.43,Actual
Japan,Export,Scrap,2016,Nov,Na,Viet Nam,"1,98,038.29",118.98,Estimate
Japan,Export,Scrap,2016,Dec,Na,Viet Nam,"2,02,854.29",122.77,Estimate
